fighter,use_surname,gdelt_volume,gdelt_active_days
rafael cerquiera,true,3,3
pedro falcao,true,3,3
alex reyes,false,3,3
lucie pudilova,true,3,3
zachary scroggin,true,3,2
gabriel miranda,false,3,3
ante delija,true,3,3
brendon marotte,true,3,3
kaynan kruschewsky,true,3,3
lucas alexander,false,3,3
damir hadzovic,true,3,3
jeongyeong lee,false,3,3
herbert burns,false,3,3
charalampos grigoriou,true,3,3
terrance saeteurn,true,2,2
viktoriia dudakova,true,2,2
manolo zecchini,true,2,1
yisak lee,false,2,2
istela nunes,false,1,1
jamal pogues,true,1,1
cortavious romious,true,1,1
ion cutelaba,true,1,1
leon edwards,false,1,1
billy ray goff,false,1,1
baergeng jieleyisi,true,1,1
santiago ponzinibbio,true,1,1
kai kamaka iii,false,0,0
mickey gall,false,0,0
sumudaerji,true,0,0
rayanne dos santos,false,0,0
fernando padilla,false,0,0
michael aswell jr.,false,0,0
sulangrangbo,true,0,0
ding meng,false,0,0
drew dober,false,0,0
tainara lisboa,true,0,0
rob font,false,0,0
song kenan,false,0,0
yizha,false,0,0
felipe dos santos,false,0,0
ange loosa,false,0,0
elizeu zaleski dos santos,false,0,0
alatengheili,true,0,0
da woon jung,false,0,0
shem rock,false,0,0
hyunsung park,false,0,0
miles johns,false,0,0
dakota hope,false,0,0
uros medic,false,0,0
gauge young,false,0,0
kai kara-france,true,0,0
puja tomar,false,0,0
austen lane,false,0,0
felipe bunes,false,0,0
junyong park,false,0,0
bill algeo,false,0,0
abus magomedov,false,0,0
saimon oliveira,false,0,0
josh fremd,false,0,0
ovince saint preux,false,0,0
miranda maverick,true,0,0
rafa garcia,false,0,0
ozzy diaz,false,0,0
jack shore,false,0,0
xiao long,false,0,0
hyder amil,false,0,0
said nurmagomedov,false,0,0
gabe green,false,0,0
fares ziam,false,0,0
jordan vucenic,true,0,0
leon shahbazyan,false,0,0
carli judice,true,0,0
davey grant,false,0,0
carlos prates,true,0,0
benoit saint denis,false,0,0
chad anheliger,true,0,0
ariane da silva,false,0,0
jimmy flick,false,0,0
king green,false,0,0
rei tsuruya,true,0,0
jeremiah wells,false,0,0
montserrat conejo ruiz,false,0,0
magomed gadzhiyasulov,true,0,0
ailin perez,false,0,0
yadier del valle,false,0,0
justin tafa,false,0,0
evan elder,false,0,0
patchy mix,false,0,0
melquizael costa,false,0,0
mandel nallo,false,0,0
douglas silva de andrade,false,0,0
ricky glenn,false,0,0
ty miller,false,0,0
tre''ston vines,false,0,0
alessandro costa,false,0,0
suyoung you,false,0,0
niko price,false,0,0
dom mar fan,false,0,0
julian erosa,false,0,0
trevor peek,false,0,0
mantas kondratavicius,true,0,0
bogdan grad,false,0,0
junior tafa,false,0,0
ibo aslan,false,0,0
jai herbert,false,0,0
rafael dos anjos,false,0,0
